conference_acronym	conference_name	conference_location
ICAIR 2017	2017 2nd International Conference on Artificial Intelligence and Robotics (ICAIR 2017)	Prague, Czech Republic
NIPS 2017	The Thirty-first Annual Conference on Neural Information Processing Systems	Long Beach, CA, USA
ICCSE 2017	The 2017 International Conference on Crowd Science and Engineering	Tsinghua University, Beijing, China
ISWC 2017	16th International Semantic Web Conference	Vienna, Austria
IWAKEHC 2017	The International Workshop on Applied Knowledge Engineering to Healthcare	Vienna, Austria
SR 2017	Fifth International Workshop on Strategic Reasoning	Liverpool, United Kingdom
ICTTE 2017	6th International Conference on Transportation and Traffic Engineering -Ei,ISI and Scopus	Hong Kong
LACATODA 2017	Linguistic and Cognitive Approaches to Dialog Agents (IJCAI Workshop)	Melbourne, Australia
ICIII 2017	ICIII 2017 - 2017 5th International Conference on Industrial and Intelligent Information	Krakow, Poland
MEDS 2017	3rd International Conference on Medical Sciences	Chennai, India
AIAP 2017	4th International Conference on Artificial Intelligence and Applications	Vienna, Austria
AIFZ 2017	3rd International Conference on Artificial Intelligence and Fuzzy Logic Systems	Dubai, UAE
MECH 2017	4th International Conference on Mechanical Engineering	Vienna, Austria
CSITY 2017	3rd International Conference on Computer Science, Engineering and Information Technology	Dubai, UAE
CCSEIT 2017	7th International Conference on Computer Science, Engineering and Information Technology	Vienna, Austria
ITCCMA 2017	Fourth International Conference on Information Technology, Control, Chaos, Modeling and Applications	Dubai, UAE
ICCST 2017	The 51st International Carnahan Conference on Security Technology	Madrid, Spain
TIME 2017	24th International Symposium on Temporal Representation and Reasoning	Mons, Belgium
KDH@IJCAI 2017	The 2nd International Workshop on Knowledge Discovery in Healthcare Data (KDH) - aligning with IJCAI 2017	Melbourne, Australia
WCO 2017	10th International Workshop on Computational Optimization	Prague, Czech Republic
MENDEL SCC 2017	MENDEL 2017: 23rd International Conference on Soft Computing	Brno, Czech Republic
AIMA 2017	7th International Workshop on Artificial Intelligence in Medical Applications	Prague, Czech Republic
FedCSIS 2017	2017 Federated Conference on Computer Science and Information Systems	Prague, Czech Republic
